Kab/Kota,jumlah,jns_kelamin,profesi,unit_kerja,tahun
Kabupaten Karawang,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Kuningan,4,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Kuningan,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Kuningan,8,perempuan,dokter gigi,puskesmas,2018
Kabupaten Kuningan,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Majalengka,2,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Majalengka,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Majalengka,12,perempuan,dokter gigi,puskesmas,2018
Kabupaten Majalengka,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Pangandaran,3,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Pangandaran,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Pangandaran,4,perempuan,dokter gigi,puskesmas,2018
Kabupaten Pangandaran,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Purwakarta,3,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Purwakarta,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Purwakarta,15,perempuan,dokter gigi,puskesmas,2018
Kabupaten Purwakarta,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Subang,3,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Subang,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Subang,15,perempuan,dokter gigi,puskesmas,2018
Kabupaten Subang,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Sukabumi,5,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Sukabumi,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Sukabumi,15,perempuan,dokter gigi,puskesmas,2018
Kabupaten Sukabumi,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Sumedang,3,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Sumedang,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Sumedang,18,perempuan,dokter gigi,puskesmas,2018
Kabupaten Sumedang,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Tasikmalaya,5,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Tasikmalaya,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Tasikmalaya,13,perempuan,dokter gigi,puskesmas,2018
Kabupaten Tasikmalaya,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kota Bandung,13,laki-laki,dokter gigi,puskesmas,2018
Kota Bandung,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kota Bandung,94,perempuan,dokter gigi,puskesmas,2018
Kota Bandung,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kota Banjar,1,laki-laki,dokter gigi,puskesmas,2018
Kota Banjar,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kota Banjar,2,perempuan,dokter gigi,puskesmas,2018
Kota Banjar,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kota Bekasi,6,laki-laki,dokter gigi,puskesmas,2018
Kota Bekasi,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kota Bekasi,79,perempuan,dokter gigi,puskesmas,2018
Kota Bekasi,3,perempuan,dokter gigi spesialis,puskesmas,2018
Kota Bogor,2,laki-laki,dokter gigi,puskesmas,2018
Kota Bogor,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kota Bogor,40,perempuan,dokter gigi,puskesmas,2018
Kota Bogor,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kota Cimahi,0,laki-laki,dokter gigi,puskesmas,2018
Kota Cimahi,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kota Cimahi,17,perempuan,dokter gigi,puskesmas,2018
Kota Cimahi,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kota Cirebon,2,laki-laki,dokter gigi,puskesmas,2018
Kota Cirebon,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kota Cirebon,17,perempuan,dokter gigi,puskesmas,2018
Kota Cirebon,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kota Depok,1,laki-laki,dokter gigi,puskesmas,2018
Kota Depok,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kota Depok,53,perempuan,dokter gigi,puskesmas,2018
Kota Depok,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kota Sukabumi,2,laki-laki,dokter gigi,puskesmas,2018
Kota Sukabumi,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kota Sukabumi,7,perempuan,dokter gigi,puskesmas,2018
Kota Sukabumi,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kota Tasikmalaya,3,laki-laki,dokter gigi,puskesmas,2018
Kota Tasikmalaya,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kota Tasikmalaya,14,perempuan,dokter gigi,puskesmas,2018
Kota Tasikmalaya,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Bandung,46,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Bandung,83,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Bandung,122,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Bandung,134,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Bandung Barat,2,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Bandung Barat,1,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Bandung Barat,9,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Bandung Barat,1,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Bekasi,22,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Bekasi,6,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Bekasi,70,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Bekasi,14,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Bogor,18,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Bogor,15,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Bogor,68,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Bogor,25,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Ciamis,0,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Ciamis,1,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Ciamis,3,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Ciamis,0,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Cianjur,0,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Cianjur,0,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Cianjur,0,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Cianjur,0,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Cirebon,4,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Cirebon,4,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Cirebon,17,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Cirebon,8,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Garut,0,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Garut,0,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Garut,2,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Garut,1,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Indramayu,0,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Indramayu,0,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Indramayu,0,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Indramayu,0,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Karawang,15,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Karawang,6,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Karawang,31,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Karawang,5,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Kuningan,3,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Kuningan,0,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Kuningan,7,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Kuningan,0,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Majalengka,1,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Majalengka,0,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Majalengka,4,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Majalengka,0,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Pangandaran,0,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Pangandaran,0,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Pangandaran,0,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Pangandaran,0,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Purwakarta,5,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Purwakarta,3,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Purwakarta,17,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Purwakarta,0,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Subang,2,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Subang,1,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Subang,2,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Subang,1,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Sukabumi,6,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Sukabumi,0,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Sukabumi,11,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Sukabumi,0,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Sumedang,8,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Sumedang,4,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Sumedang,14,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Sumedang,0,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Tasikmalaya,0,laki-laki,dokter gigi,rumah sakit,2018
Kabupaten Tasikmalaya,0,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kabupaten Tasikmalaya,0,perempuan,dokter gigi,rumah sakit,2018
Kabupaten Tasikmalaya,0,perempuan,dokter gigi spesialis,rumah sakit,2018
Kota Bandung,45,laki-laki,dokter gigi,rumah sakit,2018
Kota Bandung,83,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kota Bandung,123,perempuan,dokter gigi,rumah sakit,2018
Kota Bandung,134,perempuan,dokter gigi spesialis,rumah sakit,2018
Kota Banjar,0,laki-laki,dokter gigi,rumah sakit,2018
Kota Banjar,0,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kota Banjar,3,perempuan,dokter gigi,rumah sakit,2018
Kota Banjar,0,perempuan,dokter gigi spesialis,rumah sakit,2018
Kota Bekasi,1,laki-laki,dokter gigi,rumah sakit,2018
Kota Bekasi,1,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kota Bekasi,5,perempuan,dokter gigi,rumah sakit,2018
Kota Bekasi,0,perempuan,dokter gigi spesialis,rumah sakit,2018
Kota Bogor,19,laki-laki,dokter gigi,rumah sakit,2018
Kota Bogor,18,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kota Bogor,63,perempuan,dokter gigi,rumah sakit,2018
Kota Bogor,34,perempuan,dokter gigi spesialis,rumah sakit,2018
Kota Cimahi,5,laki-laki,dokter gigi,rumah sakit,2018
Kota Cimahi,12,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kota Cimahi,25,perempuan,dokter gigi,rumah sakit,2018
Kota Cimahi,19,perempuan,dokter gigi spesialis,rumah sakit,2018
Kota Cirebon,2,laki-laki,dokter gigi,rumah sakit,2018
Kota Cirebon,8,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kota Cirebon,31,perempuan,dokter gigi,rumah sakit,2018
Kota Cirebon,10,perempuan,dokter gigi spesialis,rumah sakit,2018
Kota Depok,20,laki-laki,dokter gigi,rumah sakit,2018
Kota Depok,20,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kota Depok,75,perempuan,dokter gigi,rumah sakit,2018
Kota Depok,53,perempuan,dokter gigi spesialis,rumah sakit,2018
Kota Sukabumi,7,laki-laki,dokter gigi,rumah sakit,2018
Kota Sukabumi,1,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kota Sukabumi,4,perempuan,dokter gigi,rumah sakit,2018
Kota Sukabumi,3,perempuan,dokter gigi spesialis,rumah sakit,2018
Kota Tasikmalaya,2,laki-laki,dokter gigi,rumah sakit,2018
Kota Tasikmalaya,1,laki-laki,dokter gigi spesialis,rumah sakit,2018
Kota Tasikmalaya,1,perempuan,dokter gigi,rumah sakit,2018
Kota Tasikmalaya,5,perempuan,dokter gigi spesialis,rumah sakit,2018
Kabupaten Bandung Barat,9,laki-laki,dokter gigi,klinik DINKES,2018
Kabupaten Bandung Barat,0,laki-laki,dokter gigi spesialis,klinik DINKES,2018
Kabupaten Bandung Barat,20,perempuan,dokter gigi,klinik DINKES,2018
Kabupaten Bandung Barat,0,perempuan,dokter gigi spesialis,klinik DINKES,2018
Kabupaten Bogor,0,laki-laki,dokter gigi,klinik DINKES,2018
Kabupaten Bogor,0,laki-laki,dokter gigi spesialis,klinik DINKES,2018
Kabupaten Bogor,2,perempuan,dokter gigi,klinik DINKES,2018
Kabupaten Bogor,0,perempuan,dokter gigi spesialis,klinik DINKES,2018
Kabupaten Cirebon,1,laki-laki,dokter gigi,klinik DINKES,2018
Kabupaten Cirebon,0,laki-laki,dokter gigi spesialis,klinik DINKES,2018
Kabupaten Cirebon,19,perempuan,dokter gigi,klinik DINKES,2018
Kabupaten Cirebon,0,perempuan,dokter gigi spesialis,klinik DINKES,2018
Kabupaten Sukabumi,1,laki-laki,dokter gigi,klinik DINKES,2018
Kabupaten Sukabumi,0,laki-laki,dokter gigi spesialis,klinik DINKES,2018
Kabupaten Sukabumi,3,perempuan,dokter gigi,klinik DINKES,2018
Kabupaten Sukabumi,0,perempuan,dokter gigi spesialis,klinik DINKES,2018
Kabupaten Bandung,13,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Bandung,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Bandung,61,perempuan,dokter gigi,puskesmas,2019
Kabupaten Bandung,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Bandung Barat,6,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Bandung Barat,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Bandung Barat,25,perempuan,dokter gigi,puskesmas,2019
Kabupaten Bandung Barat,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Bekasi,4,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Bekasi,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Bekasi,39,perempuan,dokter gigi,puskesmas,2019
Kabupaten Bekasi,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Bogor,5,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Bogor,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Bogor,56,perempuan,dokter gigi,puskesmas,2019
Kabupaten Bogor,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Ciamis,4,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Ciamis,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Ciamis,12,perempuan,dokter gigi,puskesmas,2019
Kabupaten Ciamis,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Cianjur,5,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Cianjur,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Cianjur,27,perempuan,dokter gigi,puskesmas,2019
Kabupaten Cianjur,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Cirebon,9,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Cirebon,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Cirebon,27,perempuan,dokter gigi,puskesmas,2019
Kabupaten Cirebon,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Garut,8,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Garut,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Garut,19,perempuan,dokter gigi,puskesmas,2019
Kabupaten Garut,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Indramayu,4,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Indramayu,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Indramayu,19,perempuan,dokter gigi,puskesmas,2019
Kabupaten Indramayu,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Karawang,7,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Karawang,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Karawang,26,perempuan,dokter gigi,puskesmas,2019
Kabupaten Karawang,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Kuningan,5,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Kuningan,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Kuningan,10,perempuan,dokter gigi,puskesmas,2019
Kabupaten Kuningan,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Majalengka,4,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Majalengka,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Majalengka,14,perempuan,dokter gigi,puskesmas,2019
Kabupaten Majalengka,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Pangandaran,3,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Pangandaran,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Pangandaran,6,perempuan,dokter gigi,puskesmas,2019
Kabupaten Pangandaran,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Purwakarta,4,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Purwakarta,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Purwakarta,15,perempuan,dokter gigi,puskesmas,2019
Kabupaten Purwakarta,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Subang,1,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Subang,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Subang,18,perempuan,dokter gigi,puskesmas,2019
Kabupaten Subang,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Sukabumi,8,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Sukabumi,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Sukabumi,13,perempuan,dokter gigi,puskesmas,2019
Kabupaten Sukabumi,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Sumedang,4,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Sumedang,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Sumedang,9,perempuan,dokter gigi,puskesmas,2019
Kabupaten Sumedang,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Tasikmalaya,7,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Tasikmalaya,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Tasikmalaya,16,perempuan,dokter gigi,puskesmas,2019
Kabupaten Tasikmalaya,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Bandung,13,laki-laki,dokter gigi,puskesmas,2019
Kota Bandung,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Bandung,94,perempuan,dokter gigi,puskesmas,2019
Kota Bandung,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Banjar,1,laki-laki,dokter gigi,puskesmas,2019
Kota Banjar,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Banjar,3,perempuan,dokter gigi,puskesmas,2019
Kota Banjar,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Bekasi,3,laki-laki,dokter gigi,puskesmas,2019
Kota Bekasi,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Bekasi,70,perempuan,dokter gigi,puskesmas,2019
Kota Bekasi,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Bogor,2,laki-laki,dokter gigi,puskesmas,2019
Kota Bogor,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Bogor,41,perempuan,dokter gigi,puskesmas,2019
Kota Bogor,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Cimahi,0,laki-laki,dokter gigi,puskesmas,2019
Kota Cimahi,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Cimahi,16,perempuan,dokter gigi,puskesmas,2019
Kota Cimahi,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Cirebon,3,laki-laki,dokter gigi,puskesmas,2019
Kota Cirebon,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Cirebon,18,perempuan,dokter gigi,puskesmas,2019
Kota Cirebon,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Depok,1,laki-laki,dokter gigi,puskesmas,2019
Kota Depok,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Depok,50,perempuan,dokter gigi,puskesmas,2019
Kota Depok,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Sukabumi,4,laki-laki,dokter gigi,puskesmas,2019
Kota Sukabumi,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Sukabumi,5,perempuan,dokter gigi,puskesmas,2019
Kota Sukabumi,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kota Tasikmalaya,5,laki-laki,dokter gigi,puskesmas,2019
Kota Tasikmalaya,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kota Tasikmalaya,17,perempuan,dokter gigi,puskesmas,2019
Kota Tasikmalaya,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Bandung,3,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Bandung,2,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Bandung,9,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Bandung,5,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Bandung Barat,6,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Bandung Barat,2,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Bandung Barat,13,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Bandung Barat,1,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Bekasi,3,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Bekasi,1,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Bekasi,28,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Bekasi,1,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Bogor,4,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Bogor,5,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Bogor,13,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Bogor,10,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Ciamis,2,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Ciamis,0,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Ciamis,4,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Ciamis,2,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Cianjur,2,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Cianjur,1,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Cianjur,7,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Cianjur,3,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Cirebon,2,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Cirebon,1,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Cirebon,5,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Cirebon,3,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Garut,0,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Garut,0,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Garut,3,perempuan,dokter gigi,rumah sakit,2019
Kabupaten Garut,2,perempuan,dokter gigi spesialis,rumah sakit,2019
Kabupaten Indramayu,1,laki-laki,dokter gigi,rumah sakit,2019
Kabupaten Indramayu,1,laki-laki,dokter gigi spesialis,rumah sakit,2019
Kabupaten Indramayu,6,perempuan,dokter gigi,rumah sakit,2019
